id_pagamento_cliente,codigo_barras,linha_digitavel,data_vencimento,url_boleto,ativo
37,4438533810891732681059771203427,75027.40651 50214.763031 65797.650966 4 83307308556092,2025-05-03 11:40:58,oEGviERQ4m9uvjJ5hECQ8bsI7AzM8lI43LjFrSkAEiawPxb8RgaAqQD1B1z3ew==,1
38,9040942819975648251563196603703,73577.79036 98050.499237 93255.665844 7 66357331599537,2025-05-02 14:40:30,fVgyggxVigeHKZxQU4XHkxJXREQSApqCL3DlzHV/wpuQKHgStGoJj89VH8qxEIL4E1w2,1
39,5633286066037383641956996494561,94527.65412 24389.186076 84349.454645 3 17485009429173,2025-05-02 16:17:10,LokXWl3gQLdixWhIMr3BrShRjYbdge2pbi3myIkYFRcpfB5dHT7ZLeBAHKWAUX59YIRyuzF/LQ==,0
40,3261751358333127580927132626913,65256.06206 24411.731990 79156.093163 9 10267099101448,2025-05-03 18:47:27,OJkN1z+MwYlOl8xuQqVOAlWNU81IPe0wH+WtwQWU0dcueE4XJG3ym8d89pnhNyqKXSBv+xnEKM4=,0
41,9099557701193168973921328574453,96202.83611 85265.943495 23272.087354 5 26712490599468,2025-05-02 03:02:13,keMl02WGgd7dTG902k9wxLxjwg6mFXBSmqFcuFKQrJM2G1KQz3c//32kxbU5lwBjZNsy9VABd6E=,0
42,0917887663023182207582293410081,50438.56484 81566.674076 79854.533224 2 36372218479597,2025-05-02 20:39:16,kICKv2+l9iFULoQWIiflUiwWxlCQ9jWthFeHrzUBl4winRi8nj00bLuQ8X3f9+11Ufp7cqffN90W,1
43,7621446768704526745408904585420,81751.79876 85694.166794 19756.623250 7 47778002691772,2025-05-02 20:06:21,5SGoFJdiww7O75TVyGq8xeIHtdy/FC106o3QFF969aoPuM8Y76Ad4GaDIk0vJC5ZrdC/,1
44,0921708004850717537312572268123,17653.97067 12179.950182 32380.843187 2 43343691017983,2025-05-02 22:14:44,FxwvhYzC4xc4RQNFS765GE5z1na4wbzFKrjvuu6FE8B0fgTDqy43PzmMqjbn9PRzQ49uaMIZ,1
45,4862540423017500600471819899314,96301.16149 88321.881327 63333.247599 8 94068091197857,2025-05-02 21:18:47,VFmPxrxMh8Ji8LBtHPpTsG3OzB5np//G2OhOwUpuVSGsWBocmGtT3nlQOqxndOUL8Mo=,1
46,4274873685948416985211992274371,12293.55861 19726.997538 79822.439885 1 76474638654883,2025-05-01 22:01:02,8+vF7QobTLj0VZoRsHmQrc3YKuYrqZxgBitXE09DFTXqxH0qV2CkVCvBSwRZ6q+J,1
47,8529080370610571641460224676692,58921.52067 60002.729187 63952.010932 4 06035242375362,2025-05-03 03:17:12,2y68BbfsU95XkTxUoBaOKXIo6FbZtc/ukOrHZ8ht5kwV3HgETlcK/7rkO80z72Suknwf,0
48,8811312788996877389477287651210,55254.60156 13099.432029 62353.140643 9 18901311740047,2025-05-02 09:58:51,e4/XDEC6rulRTHG2gl8hlcyTygEmJrwKd+hEZrT7y9GbTs2ue9dukTrqu5RhQFJ5tssQcg==,0
49,2643778051000354405270960338081,89572.15197 20204.102470 48635.424294 7 53084000033193,2025-05-03 04:03:25,3f7FTM3r2sroJ3f6HZZLFJWQU8G+j5vO30iLfteS5OtkIneSEJUOJ7fPAUBZcnoe,0
50,3911825337750805561982339216784,44150.17333 90136.066726 63064.610910 0 09541162581013,2025-05-03 00:39:31,5ZHEaMI+I7pZX7sNMjiQnbNXuvFK8ib2cLd4RPWHQPq0aoIhhpp0V37JIIyqWRyB4jXr3DxtGA==,1
51,7047148423776243649739225646712,58783.76239 05688.638876 49253.832667 7 00136685008780,2025-05-03 09:29:22,I+u0Ys4HkzbN2sO2tsgKX583DYKm935JtRiGQa2G3xJ0pJtRf1Tc49avBGhwRFEHJsdqDDY=,0
52,8286784498575456687669422797023,30532.36960 01799.606176 69968.943220 7 80813081450560,2025-05-03 07:42:54,Mbb33yZV1XeOye/I3XTHjrylkA4FunA7YeKrHsvBjHAHYHiJIDWXNTYOBgm5wdVnitmZ2UMW0Ss=,1
53,6988659003402777660731725616870,79091.75883 10581.948035 10570.622339 3 96692976847850,2025-05-02 03:55:25,JqEpquIHXl4czX+4FMwgzgAVHJTke9PP22Y5GbrS9v7FvGLxO7p9K1/03VJpLXlx2R6zd8qv,0
54,1114186016183059930111416097555,61558.04827 77753.023690 19855.084985 4 10347811913253,2025-05-02 13:41:00,clQgCA3NNpzm1PXjy+mq9CwFesb63qfUT6SzM1fmN3LblugKZa1rVgIsJsub3oowHkxUMuAXY+wZ,1
55,4769941933443736523459914636917,85218.44395 86932.170017 57168.793977 3 70801942002861,2025-05-03 02:55:27,Ui+OMp/rycRzRGDUYimcOpGp4cFv1E2pUfPGWcWl7voISEsIH+N/9ydAe9JIn3DNaQ==,1
56,6637592876560549453760987390176,32560.93074 31249.965038 86536.758544 4 47948365418081,2025-05-03 01:55:39,A5QsedM0yMNTDhhyVYHuCCbo2d48Zg96j1JzOcsbVzxrqW9UCu23j1LnRefZTUXYBm1LMt2L,0
57,1267233130271685905357690417896,31276.19538 44524.531398 74269.585864 6 65933232538380,2025-05-02 09:40:06,swMcfmbjL8Ot8UT1123a7N3c/2XEaZhc7oMcBTgQWbv7GXYrGPZvSXym66rHntOd3w==,1
58,9705231690098612433599502593530,85032.99311 70202.168360 65718.678382 1 04867272148473,2025-05-02 01:13:18,CFVR4BPuJiIuZ4QWTiFegEywcY6lFVeK+gLyOXd0mIU1QqliA+rt5n2eAON7A+tgOYGEAeI=,1
59,5274284589224249625244500066018,11753.13483 34529.367589 71123.965001 8 25621895897675,2025-05-03 02:20:33,Xv39ePuzCSr63HZaxGvlJidNdVTBeEjsuLDMUmF/NVK8WO0vAPVqozwBYVAHtkXG6XaxL25I,0
60,4843870008832407071257175378092,02007.25145 88750.447365 92324.138079 7 32603144049152,2025-05-02 08:58:55,cTikHqkHYOz2VfRR7njLhp/E/pRABHdUGRnVwRrsWYz5yGKrhu2cdAJWcVciw3PveAYI,0
61,7841633354032235604702898094885,89610.58840 48282.459503 02343.124644 3 30785993135258,2025-05-02 20:06:08,svhVN2fFjXV0uGVdmQ8EcCa19B9B2bQXQhwveR4ILwSxunhzk9nv2C5ZwJBol+cGJ1Zk7UESwA==,1
62,6549520605270363831300924421628,20316.48998 13043.219922 12784.570460 6 09590310578412,2025-05-02 18:26:03,dz7vKf+Q1bkplpn51TzUOwP5e1dlqLEYwcFuDa+X4AP3X7RxYtFSzeCWoSx7ACodcfwdtO4e,1
63,9404172603172592603926688046448,78104.20266 97724.402323 92550.060179 2 24907902893958,2025-05-03 07:21:41,OQ0ujH4AmGlFOlkjV0sOScFSnp0LW4wF0vhjWgRDbmNL3c9RHxvBDV9RxWZMBSVpS7c=,0
64,3523269597672225510638408266003,41711.78433 91141.212468 31282.943106 4 02021277049518,2025-05-03 15:01:19,B8FA4b4GG1V1xmfChz6G302jPKCfHRsSmVrFUwch2dW8iL7TLRmDRlFFntEMrhkdDWZ2,0
65,3341939105246240187383801718312,77609.10765 94583.292133 12939.868389 2 87970483455720,2025-05-03 09:16:55,upnoFR6yKVd0nJT37ZynFLvLcKLdnvJ8KIU4e8qDwcuadHszVvDnkfPg1WSCv70sQlzwo7Y=,1
66,8995237787813763736077663754510,73725.86580 61644.268032 95205.049297 8 99443617139768,2025-05-03 00:09:55,wykKQsM8bJEMVDRLRiBbhxkxhNgtMnkyz9Z7a+OTMyyt0XY6ButfkWVmykDggchTXH+pGqzRpDCA,0
67,1802545499759788359051190577308,51251.21539 44796.098069 82636.947949 9 10895235619644,2025-05-02 03:16:55,Djq4zdH4W79UZ/P37W7adizI9+odi+rCkzsnnVqNTMSPlvyUFOggVCoROP6ThyXfn/k=,0
68,1417812856681198886381037737168,61614.06044 95628.698554 81725.427942 0 18923713107019,2025-05-02 18:17:52,Ss9nY0c4Pl/7Pgqk02PhoSQ8SpQi5XOFglweJKkYTNPO2RV/TZdvADsDPUd85NKHKkiDdPVj,1
69,3864220376380201148355261407650,37276.34525 72140.362783 12913.787710 2 78998255093713,2025-05-01 23:20:34,2DPzpt/SpJDBTBq01ybeCW/iyH1VlxqWhW36eMeDRiCT+nufoe3X9+vchxbcaObY1GaGT3I=,1
70,1436182609834891936903628715077,86962.27853 26450.331823 35637.773310 6 47460493245593,2025-05-02 23:31:31,DKpwwpTx+BYMDxCxOGD00hutqLOD6M8vwfD/r7wWOj4uXMjlM/vSwvqW4LaBN1DOcwl4+CmZ,1
71,4543637932433800049457746908013,12970.20095 79384.310810 07629.303360 6 53085425269125,2025-05-02 22:08:39,jCEgb2p0vXh0Bnssw0rC1GyJolWUCwdEuWZBb4IRE5p7pGNchxuEdQQ4U9E8YJEBUC+ZRNAVGIg=,1
72,4437641625609429290005848292383,96604.11096 99648.069396 28705.808272 9 00536561503706,2025-05-03 07:06:19,jZnAJ3iZ7po6doUgRwkTZR47fTc91JCOV81ONwLsmS5w41FbvQaL8+zND0qCz7we+yluYj8=,1
73,9899075794297355080104374522808,94075.68475 69573.761913 05958.637482 1 81439292631889,2025-05-01 23:43:02,611GLmesDuJXb5w90buWFlGCEkkwgw7qRxKP0XvgOHR9kRQammidpR8KG2dsFwZKp1Jqketjkk9+,0
74,3294831752503587249493416386442,11279.21212 91951.991542 79162.455070 8 89464752025821,2025-05-03 00:28:51,nZoeL+5xzwhP8qzjXvJdoSdEfj34j+mJ7kfgPXX4jZ6WoN3pAJtLJpmS1pysoGJ0qGFsJ+EN/Q==,0
75,8981148389786503221646038120510,08868.46886 06871.842803 09910.420262 7 88627006791569,2025-05-02 13:28:52,0SnbftTEW1HXqAf/G3/1TExEHoqtgBeLtX1jylRExt6kgmrLTP+qWCOAodETLK+Qq+T4,1
76,5184909008204150125363601748986,22798.31887 63563.622956 23764.574426 2 99130857842711,2025-05-02 23:40:16,AZg/m7J777/HANZpTf6jOEZsVS70gSmGFaVKhnCVpHg7KShXArzhOSkkaHZgpmpx6A==,1
77,2029695449172013423586995934173,44873.01910 69623.546314 80067.929138 7 80476894381500,2025-05-02 08:30:32,T7rvAJTZt7XiEkAu5K7vrWIyrjOKkeI1ORM9Y+BGyXiGE8soPDljSvYIEQ63ccB1l++VMg==,0
78,5696852420614132513789978248647,10707.07242 80484.108852 64874.068476 6 88144642156559,2025-05-03 06:21:33,PeXKXeaJuVVPRvZ3Jdf4BEqh58ecWbvj7F/QJKy5B42YyH70bawqKSzHBm+FblRAM41A,1
79,2000275945387332963143555204243,34033.53541 33463.873178 56895.746064 3 83925105122497,2025-05-03 08:33:35,DkNrU5hkelGCvjmKAfvBxXfJuZp6IOQOMrqHB861nroDaxNgsM16gprZo1Ztu0fWLluloA9/WUE=,0
80,1098915748370331820155003673818,25799.56343 36988.653181 80822.122619 2 48479360407052,2025-05-03 04:22:51,skEGPIomdkrnXSyLqzAzIAwDmRrnrJ+VRmXcZUBrJXUD60V12E8t5odUlcwfgxv2FUmr,0
81,7507821366556952523697839698142,46245.44457 65006.614882 48344.065523 3 86693239580220,2025-05-02 22:50:09,4BQ/a62eFvlAlCUhCCuiAzfB4vSuTpB7kkxpAspRC66sXQ3YgmlSdBLmSkt+xaEFnqJqrkg3gQ==,1
82,2664912276490055174597941977455,19372.55743 16020.964773 38946.966242 9 98776513661465,2025-05-03 11:05:09,MvsH0vP9TE0ZDj5U0iKPd2Bpqbd3ukGKfy84opduKtvGVf0rDjLKVtRB2RuIyQ==,0
83,0548262355298991291931282077148,11021.48242 27750.625306 85165.626140 3 51700317184350,2025-05-03 06:26:49,IKzKFtoC2D+2JKseuxDqDSnkttrgiUYBXbJ0BuXV6gYoEO2O3SqjI4EeD7HeDmsr4w==,0
84,5393382274797579996098848082252,76718.25764 99623.360093 48652.447558 2 23161291127139,2025-05-02 16:48:01,oSHzYIdXoxadbD1H3KMnzVqOT4hCasL9bwm42PMo108uIgAqqC+j/fQbAVPrldynMto=,0
85,3449876862133606093663171569225,90468.29760 71481.816811 77481.385650 5 58442548300710,2025-05-03 14:21:40,VVrcBU4C8I2XHJnC5elrJE1mi1Y8RB3lmJpD3dLjvaJ3YgbvkYUG4h2ID5zG709tRCU=,0
86,9747595442981728655773198788612,04848.59576 64095.671150 17585.244566 4 35305887838447,2025-05-03 14:31:24,6iwYs7Mxjo/C53jIuBR+3M4LdwAP/RNl2U/bAk8nbWWLio3VdvXtX2/aJYB0XQlye6Uz6YFrFQ==,0
87,0353102327358117051389509795516,59946.16894 03155.591872 03659.943353 9 97782297836783,2025-05-02 17:02:13,CHRkqXfZ3SBHSj+oQSEt822ecZ3wX2EezjEsfNPe7tkv5iyk1OkX9nROKpjPSBiP7LY=,0
88,0423733557228063550384729853439,18930.17795 21817.181306 52833.855935 8 82257087197411,2025-05-02 05:04:59,V45BnF5sCnVme3kl73b0L2B4Qn5h5PB3JnMELfF6JJMsD0MVL+OClguwgTSAbofS2WmgXHit,0
89,2840036694788449050291247876818,10230.25814 23075.019074 65300.012324 8 06984364632647,2025-05-02 10:31:06,bNB8Q9Sv4YL9SlVybfdedVBHV+y1oyZxnKxDwuDHbVT4Otx26faIGHNXyzhBYua3pQ0=,1
90,7338532698889210167080519184262,82195.20978 92487.818245 05395.463432 4 52181707787528,2025-05-03 00:44:51,4/KcdMDppAceqWu+i0G4xm2/dOV0XEl110A5B81VQ9ZLcYnUwffzP2PfeWiD10D7Wj7+sUQa,1
91,3055290690517862918299279250828,05913.77150 69127.906903 74984.750097 5 12801357206888,2025-05-03 12:13:05,EjisQmLmhW2vBWTogX81OrKcs88Bd3nuXmtDRfeRulgdprgaoM4eYzv93bJ/WwIZ/w==,0
92,1646766477770058281483093441731,42155.54558 63090.948269 41818.803652 2 40738710729394,2025-05-02 18:13:52,t8SZBetvuETFtJNto5uO9oDwazxjOy8m1XkUtEb7ASc4B0Adj7guBUSZncDn9xzQoKWG2pvS,0
93,3949496994496794099230166746247,96491.77826 57238.040644 65804.248262 1 56733362978721,2025-05-03 01:01:05,xgx8Qg+fVJ7llt1klPT9Rbd0zbYASZe+VVXS1fFH20Femv9o0cenKtrF9YxOqpBUvA==,0
94,4896317502361996909131272954145,91198.79228 18263.115320 13399.023767 8 96143959847583,2025-05-03 02:55:39,m7tzRSKiv5T5jhNQ2Xi3ZJyuWEniz4TLuQj78/MxJH9uNjtCiU6jyYxqmaRXA9Hk,0
95,1548337598788523711762151383730,13063.99738 40677.473573 39955.895671 0 16200764447165,2025-05-03 00:22:17,eU0FMIB0KZpdcB68HZZ+oezrMIkX1VW3F//p1eFHmaxGW+aELbq/wvVmqheOOCtkuN5UcA==,0
96,8992469826493889563768627767718,40512.15701 14337.021509 60492.653440 3 91348811969970,2025-05-02 19:36:04,kcPtX9fgvmBGmrzbae5RSVZihkfG9+jn9ziXUDNqDvL3ActRqVOi+aSXZcsuhFiq4LPXOcgQ,0
97,9465911630138472241552610979914,54657.98152 10330.823003 52567.655717 5 57874286310378,2025-05-02 01:08:52,1mEOpYu0cu2tti4insQhLvYVfN4dAhHD2BooesyX6xdof2hl7RfKM//Pynk9c/uFe+8wbx73Rw==,0
98,6404003491568593944679228004250,18248.34899 81984.927426 63817.763257 3 05756501665014,2025-05-03 14:14:13,z2r5AJCyA080CtB/YU/P8K2r+eCYyS3gCppevn78NjW9cqKt0yRiHceFzI7rwqT3r5w=,1
99,3999675928848544640904544495317,12819.52694 70348.500784 40559.183545 3 44680442360785,2025-05-03 16:55:07,IXfx7nzwGLsuOuwUWQV8ZYBgulKeKYUVWhIOOJ4EM0imc+KRXEHd7NfHr8oqb+9M0jYz+ndFqw==,0
100,9739275678844712480785483207819,43965.18255 91604.528602 04414.923724 6 85120641939955,2025-05-01 22:58:44,ZUQ7wZXWPs+CZTxHyTo29Yr/Omf4q8jkqMaDI7g51QA/hPHZVTjhZw6Pa6t5gH/uvyabhfLnrKY=,0
101,2752452576388199555778178514508,98758.36168 49805.557780 77949.425983 6 19055901918295,2025-05-02 20:03:09,C+2k/dBwWSuw+o3+QpP0WVWyfgrhaLNSkLSOgNXq9gi3aELKkFUKV28zSMzzra0qog==,0
102,0350654817902655377532482580334,55282.18156 76368.039500 37321.671583 3 30070434776993,2025-05-03 01:12:06,0s5hdqT/2+m59IAkLDo5/w1sf3BQneH5So9nbnjQ1rKqCn0iNBuQpLzvI1OKBkputpYjroJBNQ==,0
103,7553688656674755213858426922532,60579.14139 49685.991792 78272.678544 6 96067473720686,2025-05-02 23:12:52,5wXtB6xNzM6nPk5BMncolaxgkfzGQeoet1FWr0GmIeYPZiQViQKUbAC2DtkNTeMVPX/DfJb4ioM=,0
104,7454533640450040961673804931717,26146.50313 96453.726127 50645.369462 9 52652296585630,2025-05-01 20:33:23,lFqbhT56cZ5TaTlysp6Qk/0ocxST/572Wsf3s7dpwbBjDpBwt5WIbaOCptkqhQ==,1
105,9419313216606131609375930897048,11393.83705 10907.768854 55114.963485 5 56238576888685,2025-05-01 22:00:10,tNoNTffb/7X5jLnNsq/aopUkGmvZ9zQ40JAmnT8CudqrMtp23BShFfS8tV7bwM2Kzew=,0
106,0164314099723945520474860597615,78209.82582 73708.424031 96810.697403 7 22715417764524,2025-05-02 04:13:31,xSORDfrVjCgc8zl0Lqv3XErIcxz99VSq6E4KM2QjZxZV1BQaFAv5NRIUwJVEx9n5HfWO,1
107,4833095109122775286265840434590,40131.80251 02115.304585 91240.610335 6 47489862600365,2025-05-02 19:24:14,sZYO/jfVrNnYe25eUBkofuLLxWjhrePuMG+dP3dx1nm9AADXxuN5L8lUx4xyuM1PerOhPnc=,0
108,3084972441917401635400999802916,85202.41851 33544.459385 34273.417597 4 92604316605754,2025-05-02 11:32:54,bGSyzEJj5Lf84FR08zqWLwsT/CdZW4BiQwMa86sOh+/ZpFeiQZP6GN3raJp0cgv2MqvKU1lR,0
109,0071111443734482370240333433509,30240.50708 63569.686580 36550.634295 7 67777320956576,2025-05-02 12:31:04,5Bs/RB6jweCIQwHmzPUiO5KCx/vAxtjmnvhzWjq+NrIeTe0rp4fuNsTywJAsTO3IUp75UIuVqw==,1
110,6965013655876676192910525868663,21508.90149 94500.869176 72013.007587 6 58045888346956,2025-05-03 15:25:52,4rubL0qDREPKzaceipbRlhOe4tsBSTa7rBp18izvQLAMJwaGfRGKJfzWT5Ey9vLmftHv,0
111,9699255613306911258231203876876,51453.70441 86454.678780 01916.984723 6 03162923826949,2025-05-02 08:27:26,TVroT+nX1yyAJF3O7YNMM/dI+ooNZKLgbz7ayWym/LovOakb6yY4cbMIYS2BEtZ4s93c825E5HJizCI=,1
112,2191929934847811609581050423599,75072.91809 43270.817414 48828.419013 1 77686174091802,2025-05-02 19:36:58,U/ZzIhGghR/wGRFWxJ46Dx7XgTNQ57yAmb0p2ORMMu2DAXjZ/7+vZAmRD/TrEwaaBoBrRZ1IZY0=,1
