id_pagamento_cliente,nome_titular,instituicao,ultimos_digitos,validade_mes,validade_ano,cvv,token_gateway,ativo
11,ZRy6dvz6vk/BGaNfE5vOXtNJdPZ+KRgLFh/TVw1Sw66+dwA/TLfiGKrnDz/cGFA+dFEJsg==,Itaú Unibanco,3ElS2DFXon8lJgXpq6ZIadwGAf8A4MFExp9Z/HmmyDPMlngX,tnQ/A/Du1Y3He3Ydu4B6e0tNO/GyLF4LefbRBtq0AHORPg==,TQhXOLCes42dx2h0QhiCC+c5QReFofyqd49phcC1tqkZDw==,349,oAe4pWla2+LgiLXhK5ZopJPYUcODmpM3HL+UvdI5a1bh33fkhmY04wDu8TSecPHQMANNEpX2Oe2hied2qBfYdU7Yo18=,1
12,YwHJiv8+dLssDjtv6UGgPx95OwmQuk+hfs7YKUH9duXtUTJAaoBm68001VgP78Af/4epOzU=,Itaú Unibanco,M4k+S2aPthJPz/9WRPVH0upxxwD+4hJ0Oc0iMP3xBRPJmU5F,hOgvNkvzgMUK5DbatP397uZiwj+CZW6bylMSv92IatPe4A==,OE9z+XowqjrYxH3F8t1DX0IZTZikNgA1YJeHEG9au0yAlg==,075,zzvLLAPOKLlP5pAT1GjNxLJA8UR7J8VBtkyE/4LGqf3Fty8taRP8EX/s2aKsvqC3AIltx0e02kb8gycRxX/+t3TyKss=,0
13,KYguz4Gj72wc208nmUW3XkqELtGp+PKWddeovISedQUQV0gpjwLH4ew=,Itaú Unibanco,28DvRnyiD/RG2D+3uR76V6EXNHJ7jzFaXjGg1OBZRVHCHbKH,ZZlY5DdrebdC1jZ4iDML3zdhA9DmD4Q/VxsbB+dMdESDCA==,HZHtssmDb+s+D1VseNCUkHow7ApvXg3RIJVjBJgurDyvFw==,078,ht8KhsPcBP7TXBdQP3vUuBeIXyYP3au5YUShtiB5Rgq08tMpuhKiYBM3R2uoZbEg73vWryub2YW2GhxziST57LM8LgM=,1
14,mONzM5AhFi5O235y27JEL5xa/7zCqR7/A1RAaz506V/IiSgefuM69UTC4o8=,Itaú Unibanco,PEfHwolYf5xVbkihImFCxo2Ern+cJjiEqIHBHQioHgRQ0jaC,GYKeJ+AzUWEdpZlP7ZlTUk5G6qLdILmhyGcNoFncdAabKg==,yrEcvao/FQD7mKnIi2S0RdLtrFa4kRbWAd/weuWrDyc+1w==,304,xahcusMMvovVMtP5LeUV6AiJEhgfs+SCW4bm2UHndJHi7uJm8w3GFYbM4uZ9320c3KJ8HfBc5RlOtpZ2XKvgKlWt+Wc=,0
15,2XVmuLj5gF6E8Fj+9ap3ovASX/mMRZsP/FXTfD/i3SSLDD5JsUxoVRIlTkW5rmkUmqk1KcDFhQ==,Itaú Unibanco,Yk2yc4naedj/peQE7CiDzzoc+3bfD2AW6nE22xp0iDYQl6fc,WHlaYggbl1ToVoPnzZU2KlTRoqHu65gVuUL18+ncUOqCww==,fUwEyjBQiboao9VdMlTisCa0dtHLonn9E+AuLLtTyIcBig==,891,2fLPY6j/qa0c1WL66+ukk6tN4ud7Cj6ocb3ftrAcz6R1FSBUGfBkg4b76cWmBtW4Cs8j6L81gBP+n/qlhEGLrt4yqyQ=,1
16,GSyfjlWW69yMcrvRdkopP8ASTxJQjGOaybUWokdI9qfwPiqhStFG6L11,Itaú Unibanco,savbM6sofMGP+WKArrCGXY6T5s0xXXYJRW6KZ1ZwUPMLJRSA,biefpYefW9hgKKBzlSDNhExPawSKfQ02Ki21eDaJ2B6hbw==,LGDxXT6fO4gVBofsOjUG6E0Ez1oe/jZv3jg1HVR1J3YDWg==,276,t/ZoAYrDy/+H+DG52kMqx68s6m5TmiKubgWObGLnxaRygmH9mXkdyVYBKD2Ay6sDI5m2/tvQDTRHNcyO8cNApBm2mgo=,0
17,0aKEGaMUVmkELNLaNb/DFrxj9yV9thp3nAQWrKszsH4361tafsnwnKGZEqCx,Itaú Unibanco,ClKnRPpeMYzZWHYixJ1YK5MBOGXTtD5itCXcpEzUCKlwfsSm,Wdafp1ShmFvUTrKtKmRYmtFAotOHoqlGw71HqVBuU4+UEQ==,OnIX5trCmPdCmSNG7EpaUaJTKvpwIaURG6w0Zcx3Kjz0Og==,6725,GkAF5BhWwoyByEqeh0AlOLBf2qRKNAhxeM0SqEPZ8o9t5C7wKIOqU46CZ4YkZwM1dCHtbSiuflMWgcDL9sAIN/xye0Q=,1
18,+l1+XC6exzlvtbT0c5W8l09Ik11d/laAEY2UCflNo4Uq7kFmv8CGT9NpILreL30=,Itaú Unibanco,hk6M1n0FYCG4hOwEJRH6WZm/nBPyTEPqe4zySFUwTIdCzh6k,m/ieGUmY+UghjmhX3fhXhwbH8Xen2XrPjdqwQfEwDoQe8g==,+lb5FsFgbPbc4d7tpduDZSE837nJiprIWdQw81v9p5ncGQ==,108,DKoYsztepwON9sePfNjtFiIPDKYNYeIdHnlOx2CdjgcARz3bogGXZ0FY6VwTpcIoe0W3ucHEJNsf8z24Q9vAxzJ615M=,0
19,Vwi7e156guEPNQsa4IwKR9ERfDeeP84IeTMvWmgx9dq4RZyis81T2Qpawq91sz2isGjB+gIlWprNTeU=,Itaú Unibanco,L17c4dhbXGITntFuAhTauPXdkj832FdamFXJdtvxMvYUCTEB,iliKVx+nHnJUOKISysLeekZWEUr1AfAzeJkIt5ObwGLY+w==,068GiYEghRL8G9EOSN5OodBV2kSQYFJXm3UAjczGkjxBWw==,384,rb4PUI4016O6uxCSAo+qpugAMfvoCW5+tfD0vFfKq6qaAti0pqWDi38RZl6BqZ6O2Uo/Czk2n4ifz7KE+zyfXA+qMkk=,0
20,vsGWvK0mFpIlFzRqQqbBBEwxiCAvPV61xdP5sL5TSEVbmoPz8tpp4069ww==,Itaú Unibanco,K5s2kvLG8Y+LU2w4Wts7FOut9yV+un3DkMiK0Nc1FvdVouhu,jopbelKK6/WQeiAtZdmXh/RAU7Kve3V6uJBgojihEj1Oaw==,K2cz2SP9deVm9f8Gw6mb/cknO2AuUb5Xccni/6oMu0mqKw==,431,K9rOMnWQirkF97hVOTdWdWPCiR0LsJ/WxWH3ycHXho6KzjpNPjIul5Yb/ufDPzAgDo/hooP/Qxm3lGNF82XEIiZu4fs=,0
21,xHAce3W12E+YpY4QzqAVyLHvyARG8OBxb1nTdn+PsZfgrfaTniOTwVKOIPz+QaBGJg==,Itaú Unibanco,J0RNQbVD7X0V9L98EFXXXbiQvjiRw+jjPtpVavcEkXuf6625,yjGr+0FvDKjhSY22O8TfGgjyo1gZFjIHNbJO5CKCHYjsLg==,9LtB40EoyrCt6PiIntm87UFrIAk4uP5/Dep0jA3CPCOf6A==,579,1iG6ox658zgHqSbvKvnlKl2UKzyv5uxx9jyJGxRuR9SbOvXWoHyHe9QR0MRpq7UJt42OLSjpwushyNH+8RceLkFbaOY=,1
22,ubGIwzrBKn8deqlt9kFXgihD92FzexzujHtw78ZLMv32jZ3tB+4CljaU0yMDXkyM5NWz,Itaú Unibanco,gADzJXjcn08657/6aZ2Yb0XPOw3cNNNmjwlZyi8Y83XASVVD,1XI0GeSI6ZUZz0dKnWU+o+/2tG6gPetoDigqelDmQEUEXw==,CAPtUasEszji0g60ErZBNlOp4HbFrUfDj9l+qhL5Ecx1xA==,232,agcPEndd/RPnhGXBSk+/HUo/GY2NDalj2YAIiffiAHYWDtf429f5kUyts0c9kIydgJ1TyZQE2bVnNzVttepbXkfGoqY=,0
23,mNTrT6OkwqjVUuIa5WwSmQBcyOfogESSdOgd+sUP2D3cwlt3bXlbhu2yYxVAlQ==,Itaú Unibanco,fgKDITr8QJcKIFAabD7DRln5u8UFM5Cz/1jHMXez1sl7rL5C,x/AqRE2NhXjiA2XOMpSCzFmKSZ4nkjVvSBJD7TGBu/Qw0g==,sDZpKrpsWcHmaqLU6T/C4FBAeOI6nlVm33qa0asYwwIoBw==,128,Iz4H92beXWDakBVtwdDaFyYtnARet7O9a0cgqiTG06azc6LsRhsnD9pDbgxrG/2Xh6f+FmmhZNSpvxXxwZkyThNll/Q=,1
24,5IFKfAfc1BeVkM58mPA2jl2mEjdMjLtA0ceekhVELmWaGAPGdKINqkxGB4w=,Itaú Unibanco,Usqg04pmtwQTF9AS0d2WAiu9WhKexxtR5OlWlZ4e8kt9zQxP,y2TmVh8fRlQtyCYQbVnuvhz4AeppUAyruAUuhl3UrkaQMw==,OHfKgRar2GhWmyUEpuLIAic3DGUluDwIouzOVArxadtwFw==,414,vOYVtmwAXS2lsI3E//aA1AmXs640ekSusG4I6jqw8iAOpEfo8RuiAeBhhxf1FdWm6kocjn0a3oLrJ3SGsWlEKYBI7GE=,0
25,16EWvfAozFjIG/kgi3DbDZAkWUILE1L0dxTXMJu0Ld+2W4paUV8O4AdNVEDYdgTo0QxH,Itaú Unibanco,O3Wct3EEcHL5qIFtwVecidEBssiJtTydea36K9Jt9UZNYIAJ,qp/+neS+UUk9wqfBc4RxTEyWvgQ7DOsBWmqcb+iE/reIqQ==,Z5+FJoYvhKXoHNzaIngEQc/Zx/EBwJNPA7dtsLSFxni9uQ==,5594,7+Xiwx7MIEnmu8JDT/oky7Hbq1XtKPUhBRHVIpAs6yomXzOqwDlML/FydilgiNOQmcL+ow3uZ0xveOSnugLtA98L+wg=,0
26,/9Qal7RwIs5zgcAAi9wPR9ODouGIdnzJVuN4Dy61tRGk/jFVtn8gk8Sr1ttUZg==,Itaú Unibanco,XTMuU9XBlpjzkbWCgn8hXjPo2BdKgIQcKUHH+tG0dJHMmYDb,Irsew78MJ2m/lM2wKQglmW21OKNQxU68uGPZa1/NTwOGww==,/TxcJWXwzb0KZCS3B4ZsGUnKZtjIwKSnFvMt4UkQVql1/w==,300,BpD1uSyJZQYmg/vTSd5o2C+5oeVMLBVXjMFd5lYOWKjS9msYTMfavDzdUFHom5B+sLw1W1tsWxpU/Qg93d65da28yh0=,1
27,us4xCPYbWMxvL4+6hIcXTdjqIyN4GJo4yrVJf8NXsEMf2SI7q+HECfprD3rPdQ==,Itaú Unibanco,PwyWkzIDmcCZm/GfCJTjXA1PMUJeCGrhogMbNZgDEUNde2Bz,iGNHuCliOewKrAIyYGdHbXfADlVKBdljrs0VSZgskRQkGQ==,NUmjOrN9qBBbCvdXtRe6XZDN/QXDfQm/7LuAYtZoqgVZtg==,350,B8O2QsTv7gCXQUbi+BZeK4kLWBjp5nzI93+G+/LSafAPzoxQv/3cNsA7OvH48+Hx9bKiZ28Z62Veck8nxaxp4I0VOlI=,1
28,L0TN149VQTg+FjVHet6MsEm5do6+H0JRBpMf2cnwHbfDWVPIO5E8pBgNRBG6+Kzy,Itaú Unibanco,T4Y6/+K1yIiiOUTOXwt0S/6KkDqLMnZRQc3JyQmYM17ZcCE0,pWuqy6BT9wG6IQKVIDk4gKoP7P4Xg8G7pd2+7Lnhi/gvIg==,uO8H6DCaiWG6nJGEpmFd5bs1cJ3WSKpyFySQuQgVPYANtA==,1990,DkSwBzUKFbmSHnsaDIdQ5/MibK/l+5O7VjOeu+qFM55usgpJzB3wnBiJPsN0wbPEvovABtlERrWw6mqlR147kLZon2o=,0
29,4YGKWP8WBmXZlfQQT6OCyfeBeQRcmoVRPlzMVORYpgZ2OTwbvHNImnagMdw=,Itaú Unibanco,R5KQ4QWgPhavZAgwgLq0StzYWqCjoziJq3tv+wqtitmME2cW,JNOevU9ryz9Y9995QVb30bxLpvSkl+CeUwRYLdWmPVtm0g==,X9z43W6xDV7IzxX3nA+EZwnrYAsWb+R8TBP7e7qQyTOw5w==,734,s+B2cUZmzcNj15+NaQywHWw1a6w0jdhjT8WePjnISo1wnA+wthJWOJmut5k3L65yOUd4wSs2ETMhq8VgcXsXLzLgn6s=,1
30,8UfPs/I171ER6/qpZhCKCzyZTtwE0L+2SuJ5OdG/zlXZseS2tLYjIYmkzVZbi32CRdE3dLI=,Itaú Unibanco,4unEXb0UHpvtl5OoJ/6iyDRwpV5RNmt7il9A8HsPGXSfJ9Zf,M/dYkwru9XDqo8mTJZdqOGFsNBbNPTgqo68bgX5ADDi2Dg==,MKEKENCzyJjLePgQ5Ux614PG0VuHjhDL+kTUSRtboc6vzA==,4243,0jkE0lqTE5TSUSZE3s00bRjX9x4VijzNlqjSNGBvOSeK3zsoxHPN7whY1hOTuYDIxk/NZ9TESaXhhE4i7EM2xSy1QvQ=,1
31,2ttebkPCcvgL/uAn5K08sv6aR0w64RvUNGYMZTg2dFkDaBANAdMIdxUPjy/1,Itaú Unibanco,QwUSFkfpOuDt3bNT2lHr93Do+kol2KgULU9WFoZgbLwFts9X,gBbo2g3FutzTHKYL9pX8Gmz+5ngSxJ21b2XKwsn/3WU98g==,vTimIzjmarUwAi8eKsl6/BR3vYaj3sUglaIN/V0IvIBMXw==,573,SliErmQdkIPTt7aTLrcr5CTZFb/RaFTDXIKWfa5utBUv8ZWMXfBsT16fpDm6oeg6cbJ1trTsHiI+mutqV8Fl5SQ1bAY=,0
32,Y/ZoN8VXjl2YgSQ2gnn9iS42E4VXC1rTehsVhcM2wjMJQfTF/WBRkPZ1LtnSorsY,Itaú Unibanco,Hak0/ONZZS78jeWxLXC9+H8qzPIsCYFuhJ1N8VVEvZcUbXR3,cyj7BDuCMqvPYc7CmURXUEXnMjNX77ayEhmtOBOt8qFrLQ==,hIN0QZlxRMoDV1CViFRn/XXarSSgw3pSlJc2poQ5z2HYHw==,425,DWDq/scYesTKxDgHBRg47boJ/hrmZynEVVNT7gdCA5tfqgXYV5CICcgetO2p7ZsV3nNHtnPEo++fNma8DwlPqqpcHA0=,0
33,BN6gufXodb3XnG+r4Bvulz4K8tPWuBElpvnTU2AcJvM1ZEzw/eyqrUMCyKS2m+x9W68=,Itaú Unibanco,0wMvq6lKOz9/H0degbYKGUk8nsPgBj7RlEHeUArV0FextmfS,GXvNbLt3umSHOIi7QcvioRMJH/M7HKRHi0a1OiRdzZ0Obg==,VM/63qjKR5ScpNdtqe6UH260FE7us2L804wJrA9x6ZqC3g==,979,9QQd6W9XYzp16cQ1QNfqNGmSWOweDCK1/mAPcQB+gb3rFZZYVfF2bAag8tYx9zw4GO54rOGoKrpnku+lac1kYYuCSBE=,0
34,g9eS/Q8yJ2A6B9dlYII04MNj/28Yc0x3ht3ckIqb7+xVmXz6+OfGRQCcLRlMzfMcLOKfPg==,Itaú Unibanco,ZIYDp6t3PHRfxXg/Z9Zvt7jkGo5fokPwaLesK7JM4y7+e0Of,hWF1kk0LxbY3rT4M0OIGRR9U41W7Z7RA9AuswMpqJjbnng==,01n9mKN1NLmn5BaTpcsFOIk29mAyIyzy8aoJ6oG4chq5iA==,572,xPpH/jBlk5liMpUUTjejW7dMdQpzE58B7p+I4oLKtiZIflBZQgOne4YODe41jQZfT16oHcheA5E7/eUSq8fgosaz3mo=,0
35,SSL+LTUM5jap0AgMSGwgnX1CNTfme9iLJWl9zKAflrfvr5vXLgb2I4G4SsPF/JAtnQ==,Itaú Unibanco,Vfs8BObhpYAMvd0AOSgL/E2RuXH3XNnFQsxz6LbJz8frcHHv,98KKHVo6M/cw+XLdSusxaNLaf4i+9vc9qJSGpy09snT8gQ==,xFx6jOBeKWWECXIIN5M5OBZW6DdREMswdBLJn8zr6tQeFw==,877,B8XAezDu2z3nB8ueiDqDzSNO4J9QiEgRDuUTKM7g+BsFbrbyyyi1cnv20D7E5PR656gw3ZQl0ze52K3D8XEfNO30HFA=,1
36,T1RmoqZjm9hq8PCskcdy7PhKBW3RrbymN/e5Vln3P+OV3ZuFl92V1fst4NVI6YKtU2A=,Itaú Unibanco,zzdnGBG5JhJZoJT+0mxJnKxPkmhyOI7Wl/K+uxm4/wldtjmO,upcvq2mqEraD2CpL9/CP2p/DqXhXKh7pSYv7Vgrtktot3Q==,bf0Sb7xlTo22/xbbeN1w9Ay2C2CZ8bqKdo1m7LR5h/aaTQ==,200,U/KL+TyjaXwNZXOP766umf6LF7I1l/ofmBccVv9XmYcRL/DIaaj1qoBkIBWWtByi9toorFSLpOlCk65B2YJyvZ9+x/4=,1
37,OFXmgLDIn2kp2OdbFhTe658Z75gbfl7zKX7h1G1wJZu/wMnuHUmUnmr2guX7i5Nl4m1hbXbJ3Q==,Itaú Unibanco,R+ANlcFJUg2CDh0ebyathdpVB/q63l/rHi5y7I1DQY3tnU9h,tdh6hEQPf4d1aQXfsvh1PjZGJ2xo3P2M0nWPZi7BXHkJ7A==,tvNMUBwL6Dp0OCDGEJy+K/gIDwJIV3e5Xo0vQyVLf6SowQ==,345,lwCi3lvZIy4kc3kMjdo+RFWwqOWQyNuaxwBtyEqhhjIkYKZTXhRlO2icDWFSXwUqz8XYtkKN6ABSM5X9nLQbmWWbcnQ=,1
38,giIATZKH1k3Oc7GB6yMwKqYArZZ+K2kclH7bxCsJ/6XFTEAHhSo1cAVqFHjmM2UeVw==,Itaú Unibanco,y6MHKgTJ3jbo/m5sw4CSCHTyeDjeUcoNFxUkDyMdJm4HdEud,rrl3wFrBgAA7LATwBJR/FUYpLLeUe7Wx02g7QywhWVJJuQ==,Lucf8t/RsO6hlVLemuC8SZe1+j1Rknxs10QT5mW3N4GJSQ==,060,Rf9zr2HLBZ2ViIY0PWFMnE9yoDaVc3s4w1Yd8cqK4oTnSgxaFyRzVLjqAc1NJec9SIugre7iks5ndKk1f7Ri4HC1C50=,1
39,heDGQdJKa60gqnhW9LSHFp8uJMWwG8Opfr6iDS8UmYtvYyitnC1kLc2rjje+mo+V,Itaú Unibanco,cZYw7s5FLtWEufuXmJn+PiVYjWuQltF4v8QjDjWJWdSB/n13,h7eRo0CeShx8a/CtIRepdXNNMliGUI8rQqX9qss8zTmwcg==,FjLO/looyQynJdY6iPmktyenBIEdQKigPhxmy0A5jMoFeA==,296,Plr1tkgwmhtHiU1Fw3w9/ZR5Jox/AQzySeUf3IpBfnyupizTcO7BHr2FJdvUhU6NeHIwNDRHgGT1RRVsa/j/XYYUCck=,0
40,NYJrXLOvbuhB7LH6nSheVVCDx3PI5wWRa/5CEFXpjOyL/mc557UOZ7ALsbbZbWWI3w==,Itaú Unibanco,eyH+yxHsZySgL6rnq9fIKUNCiDDtVKcI5R2arOUoMS9kUPdr,F9pSWcWycNQbWKFRiIDY7UI+IjsUPCxWBsg0YOW+AxaD6Q==,jnq3GCz2R4ID7uR/59iIqPbwMpyvOaxhMUBmpmkzhoVbNg==,617,n1Qavz+YV0ThgMGea+drn3ORT8MbeXwUSM6qHBnsD8nibRW6ymRK/V6yv52SeXAvgWja59FzZnSvFEiSWGJHhPVXQ5A=,1
41,E5DhmgBXFo6tAJKGYWd1UFnYMg8y1xZV8orayaUVR15Ts/egBcg0IgML7DLvaA==,Itaú Unibanco,W2XaRPKm85W4U+qpZ0gv/NYMpKd5auHkPgmm2zerezQHBtFu,Jnoo/q6Q5qDUb+aRnvTtRpobyPhsRtsVyG8ZzFbCFPAUGQ==,hzoGgWORk3rq6NCzft/yakHCCidiYfcrT7hRmGPLsoGZ6Q==,693,/y/lzIflkKvtmeRy3Sb7n0q9wlSbxps643H7izlnViFPwJHg2nizj8c5OD4x06SY6++MRjlII6sEcPXWYGdmBRerVrg=,1
42,DbfZjyj9R0lNXpM+mKCPeRLRygn9uIWBTkC/Eh4QyuYnHhGpriv2q+nRIgbU8C1JFywlIg==,Itaú Unibanco,3qyaA8Qtu88oDCG2/iuTfHyWgXlIIBfTDQZdBmAPKyWpWDz3,Wv72EpG+g/v5fdnTzjVHPxcykiwRyZVKUuw2NJeVAoMVLg==,XjyciDNP2MItiw7DtqaMFlrMsGRoCbIyLoJBTEwNAjF03A==,059,z4K4PAQ35YD5O6bZL0YVHM08fcQrKhb7CvGT0wkilGBVO9lFoZ7LQ4zDodQd2xqPSIrE3UAh/q1AMxtjMDURgCDTZ2A=,0
43,l/hKpMWTDbTBVITkm0M2dwRRXN44FsmCM3H363PwgQjr7CFKWLcWxh8wxJPF,Itaú Unibanco,znRyU6X5uLy9BFVFaLcamzOYrxK6SRuTIi3EZawy1g7IVTpG,pTOB/fc6hTCUXoOIt/IcVDevCD1I5Z345dKSsZBcbFVK0Q==,4dSS+GbEHhVSnp24KcQwNCCaRQYHrzj7hmE0A3zHkJ0q2g==,799,TZoPmI73rxn6W8KVs8dueAJng+2C/x2VKIk9sZQHxoWITzUBsGW69fK7INORFAoRKy2i1W6MW00udh4uMQt7cMCtG4g=,1
44,G62XE9JKkkQpQR2c6qHlV4JfKCFNWcJaX6AdQhXR48ZvfIu2GKqqkpWvot5OKw==,Itaú Unibanco,+R2K/qSaI4Vdh49cvf1Gs1zLaFXGjtQF84aquRPeARkBLGcT,WHbLB4WaREHSBEf9JW+vvvsOGGandhltjepATfmaYuz68w==,xNEaauPYRGLAXZ7mYKw9XmIa8Jt+nbmyEYxRfEtMtYvPuw==,821,R5MQdSdEN3hwsC1dLcmG82SxQqpDtMNuLXMOKCzUb3XbdfSkIt2AAbC9LBWNQt/074p9F6qrA8PXL8S5l5BVlYvBuAA=,0
45,Dn3P0FvpF+l1PL28CcZQNpQTSr62opxBt2Hv1jw6lnIR60nrEcGn+2E3rrDOZOeX,Itaú Unibanco,WO5iILUUMQ4/sxwWPRE0TWvjHgXbgxbbStx5pMJz1MRJ5MNL,KkFqEi02fLFimK29djmrf66HZqcBctOM3A0t3B1GTGeIcA==,n03n+QCqCm6EA+QecSrRq0hC4D3kBnchBGlP3Am9h8TlQg==,504,PT60E29kCLtMTtMsjyEFFtVC/JnTi6Fpv8/SrnnKooUloz1iy0U4NP+LDnzm9R3TD5FzS1qo5q5uIkdZbQnkm99Buew=,1
