id,nome_completo,email,senha_hash,tipo,telefone_formatado,ultimo_login,status_usuario
63,Emilly Montenegro,vianabella@example.org,l63dhW/qrnXnotS24nyvQfLmF7MJCpJge7AiR6bEGkTR/HX2zkYC95IX,Cliente,31 0695-1168,2025-04-12 00:36:21,ativo
64,Larissa Araújo,tda-mota@example.org,7d47TMte595+qx8QVkWRVWoblAHDLCmFEInYS6WDHIV4pnK3QdBO10oy,Freelancer,(071) 0303-6860,2025-01-09 23:50:18,ativo
65,Maria Cecília da Paz,kevincampos@example.com,IWUjHqwH/NljELpIs1KIoJerXw0EUJ/aaY9OhuUr6TzF2dhRv5pXZlX0,Freelancer,+55 (021) 1470-0703,,ativo
66,Laís Rodrigues,piresenzo-gabriel@example.net,w7vq1kYQPyDUxtrfU2orDNVWE+UDjsy4rD6QqJuILruZjk+CBVc6PufA,Cliente,+55 (031) 9323-7487,2025-02-16 18:53:10,ativo
67,Joaquim Cavalcanti,limajulia@example.org,hPlVqPAVGyrtkr2WDRjPkzSe0ySQfvXJe8SUMWWLc1t/VHM3Q2YDzbiJ,Cliente,61 8666-3722,2025-03-25 19:34:08,ativo
68,Breno Cavalcanti,da-conceicaojoao-vitor@example.com,vem9Jrp0iH5tXCgLFg2deI1jRHvFZF+8a4zr/cWkWqVldkjbYPQY7fgQ,Suporte,81 3355 1738,2025-03-04 20:59:09,ativo
69,Isabella Pimenta,abreujoao-felipe@example.org,WanrRz0/fKUGJDSHuaQ1+tMuoiEuRi7PX+gS0sy+pe6zVVq/3bWeTFky,Freelancer,+55 31 8137-2874,2025-01-09 20:24:50,ativo
70,Sra. Maria Helena Camargo,barbosaisabella@example.net,qD/VlLaZuoRVOefob2kutTcZWRd0xIx50zbUJuppgJ2Q/AZaDzEeExwV,Freelancer,(021) 2713 4970,2025-04-11 02:10:21,Excluído
71,Arthur Gabriel Monteiro,vianayasmin@example.org,AmIA9dtEVGQ1sKS6I+WJmRNi5yJaYyvX2ci/maQb86HGnHWeLuoxZc9/,Cliente,(031) 2091-5178,2025-01-26 17:47:34,ativo
72,Hadassa Sá,livia99@example.com,E1i2Z7g4qhGOqUtt+P4EPef32AJd2GPnqKZZita2eG1cazULdhVUHNkJ,Freelancer,+55 (021) 3796-1787,2025-01-17 05:48:09,ativo
73,Zoe da Paz,kevin33@example.net,tqyzyHBSc4Lc7U6/wWDm/PKXJpIyBtqnZdvbP2ssaTKLegGX8zc5aqjT,Freelancer,+55 (081) 8829 9068,2025-04-01 05:07:06,ativo
74,Cauã Cavalcante,ksiqueira@example.net,k2HWoQXVkKJBEfaW6T+XbeomW8Uog5GNbydbkppOZDMM7AlQgV7mGV5G,Suporte,61 4725 1388,,ativo
75,Dra. Valentina Garcia,brunadas-neves@example.net,DLd/Y9NtNfsPiNysNj41HsoED6eKMvhB6k78celbGypjN8Nux+iE5Hl2,Cliente,0300-236-2302,,ativo
76,Lorenzo Abreu,kamillysales@example.org,SE6b84XrGJa2L7l3fOBRKPaSJU4vK68VQ4vvB0ZWFVuMZcPdLNVBtY6v,Cliente,(061) 1126-6345,2025-01-13 11:44:20,ativo
77,João Vitor Albuquerque,henrymendonca@example.com,ek55WQDF9z3C3N/+yxya0fBhlVJIEW9MpkWYwIO7CCMZuB8/eyYTZaFE,Cliente,21 7847-7236,2025-01-13 12:35:37,Excluído
78,Vinícius Novais,ana90@example.com,l9Eh06uEmKWWTMx8W25U/S7saBj168aHt6MKn6gYFJ1BJD1lojMHjy5/,Freelancer,+55 (084) 7420-9947,2025-03-26 03:06:13,ativo
79,Rodrigo Cirino,vitor-hugolopes@example.com,IJAme287K8aRHK9e0MHhu56EQPCW2ScIVsTuyCLfgJAJBnlheq8UWu2o,Cliente,51 3783 7644,2025-04-21 23:52:43,ativo
80,Yuri Santos,heitorda-cunha@example.com,ZEqrVi3Rk3r2m/sMEW2dlxxZ5KUEiZ/sLpUrg+Dyd4ZN9+wUBITVLWWY,Cliente,+55 71 6551 6218,,ativo
81,João Gabriel Pastor,ipacheco@example.org,1fefRYornDeXLg9Igwg9EvYAnpAETJeF1WyFo1tBwU8dsAuBWYoXQ9rs,Cliente,(031) 2354-7819,2025-01-17 07:32:21,ativo
82,Davi Luiz Vasconcelos,ypimenta@example.com,mAPLe1yDOq3N1GMTQ1KRDSb9P/YO9di4ijdnfQPyvMHDJhgMUM7RVjc1,Cliente,0900 217 1385,2025-01-20 20:31:23,ativo
83,Maitê Peixoto,castroisabella@example.org,zu5xhAlSrREWenn+6F6he03zBKgzbNsPgmJqFzJEuK76VbT7Q83P9z+9,Cliente,+55 (021) 3731-5187,2025-02-01 09:01:57,Banido
84,Emanuel Nunes,bruna72@example.org,oAG0Y+vDJhA7BvryXyGEziGRIWVsqBDg4rCCKvjqTaBW6iLmFowiVQNm,Cliente,11 3538-2908,2025-01-23 11:42:57,ativo
85,Letícia das Neves,theo92@example.com,+3/7pNlsqnaNTirKdxRbIsAzL7+r3OXci/s70TCHL3xgEtSOdRhbwEX6,Administrador,21 2996-2331,2025-04-03 13:43:47,ativo
86,Vitor Gabriel Barbosa,earagao@example.com,+JIr1jTC1cOkLHYC7cZJinkrI+tnJPAhkpuGZcqzCRl23/lbQW2Bu9A/,Cliente,51 8002 8727,2025-04-09 08:11:45,ativo
87,Davi Miguel Duarte,luara86@example.com,NHCvlWWKnIR2zz8GQOIt5U7pJlxMXp4CuQaovdpiJQLai2J2JZhiMqsL,Cliente,71 0362-1371,2025-01-16 00:36:16,Excluído
88,Clara Sampaio,mnogueira@example.com,cG/8mXu/OpQSX2iNXfM5S93mffoatIskVe2WgXFeJh3GagpefRj8TayY,Freelancer,(061) 2659-8682,2025-04-07 01:00:54,Excluído
89,Alice da Rocha,rochabruna@example.org,l7331Yi/8iqPY9eLrmRy4ZR/wdPpwSv8RjnDawJbU1Ju0sa6hWwgZJZy,Cliente,+55 81 4044-8076,2025-04-12 03:37:39,ativo
90,Valentim Costela,marcelopereira@example.org,6uyirY4mpPNeaPTG8O+S9FR2Lae0wb2jdWy9EFRNxB7pSMfj6KCdFFU7,Cliente,51 9309 5976,2025-04-07 03:34:42,ativo
91,Aurora Pastor,dcarvalho@example.org,1InSgFd6jJ6fvQvsYUg5AHJI92IsyRMCUv8Wd8oZlgZf6VquvZnR4sBX,Cliente,+55 21 3510 1660,2025-03-19 12:12:33,ativo
92,Henry Rocha,joao-felipe20@example.org,ozCvWyOpQK9cYIWADscP4EHSzAj1aRWLzVRxLmJhhTlzi/RqwApRexm2,Cliente,0300-899-5536,2025-01-19 02:59:47,ativo
93,Sr. Diogo Ribeiro,jfarias@example.net,MpVQGmjTt3qZJiM/bbSHSAdUEOAJybfBvgGxDRG04+iN4lim2ouzI++s,Cliente,+55 51 4806 6454,2025-04-04 09:07:26,ativo
94,Sra. Isabella Costela,xrios@example.com,m7Rodj1gh+mlre9uuGHnJTPwpYDkrLC8M+jZlOaD3t5lfjmIFA6fKUkp,Cliente,(041) 0421-1141,2025-01-10 00:16:54,ativo
95,Dom Nunes,enzoalmeida@example.net,Ujf4TXMaGY5EShl8GGeD88zuPnPI84PQ+fFJGCCiP1ON+lAsHlfqTEAG,Freelancer,+55 84 3938-6907,,Excluído
96,Isaac Gonçalves,zcardoso@example.net,1JtkvJ4Era5+u8iKJspf8yzgmxNUj1UVp8QIt9Ld3bh2s5p9L4ew7wns,Cliente,+55 (051) 0877 3687,2025-04-16 10:57:16,Excluído
97,Maria Helena Farias,manuelasousa@example.com,e2MXBuOepSi+edAVlF08irxZuGdGuBStCpLaa67eQzmpuWyPOZDmdTY6,Cliente,(084) 5602 0930,2025-03-18 04:12:10,ativo
98,Luna Correia,erocha@example.net,D6faPPo9B6Bt3Vna1jyGD8hQH5mXkWg1dBMbmopXczvoWHB8piBg286l,Freelancer,71 3700-3169,2025-03-31 18:01:55,Banido
99,Sra. Milena Jesus,domfarias@example.net,5DfQbe3SgrSJXKxdxs0rxNAhB9JpMOgx3WlIt5iJvfgR6Yi9ZLQbbe1y,Administrador,51 6873 1064,2025-01-16 13:33:07,ativo
100,Isabel Aragão,sda-costa@example.net,t7JNHUQEQmT+SeBVeYMFlkR5S/d98nRi1JQ/KdYOdZSB5yQOtT5c0kzN,Administrador,+55 (081) 3389-3171,,Excluído
101,Sr. Pedro Miguel Araújo,anacunha@example.org,DS3yZlX3oo8Gi2FYdh1iP2aEKPHKCwPNZSqq+q4FqGEQTzanAYp0qhpV,Administrador,0300 431 6004,2025-02-26 08:31:14,ativo
102,Allana da Luz,aragaonatalia@example.net,dhIZEUJTK5xgruAh64j3si7YWs51frOOh0b470NoPY6omqDCyvzkf5ty,Administrador,+55 31 9111-8913,,ativo
103,Marcelo Novais,ovasconcelos@example.com,OW5KpCBpwERdOR7GosJC2YTgNeXgDT3POk0rKefOcbnVGeRKuMZ5qKIK,Freelancer,+55 (084) 1830 5051,2025-01-15 12:36:11,ativo
104,Antony Nogueira,joaquim75@example.net,uMpX/zuLlnX+7nVaB3P+f7EIabohxOxUNCYba3Ia9KKNyeBB/oBaoiGy,Cliente,0500-613-9320,2025-03-16 09:58:55,ativo
105,Leonardo Fernandes,ana-vitoria18@example.org,yZJ3cwsRO720f+gnG1Cj7uuz43wqWXgM2GxOhawsM4TVk7LWCRt1+mS4,Cliente,0800 940 5368,,ativo
106,Diogo Pires,maria-julia81@example.com,wan3Vas5+2gcnCcfFNJmiLVK7R7WuMyCZfhYg4e3r/BArxgqH2+0xabo,Freelancer,+55 84 1901 1617,2025-03-21 02:33:34,ativo
107,Dr. Dom Fogaça,santosmelina@example.com,48xh73XHeQKd+boatiLuoYzbORgaq71SDKOkxjw8ONidlqIYv1qN5U+0,Cliente,0800-234-0042,2025-04-26 10:24:47,ativo
108,Miguel Carvalho,vicente30@example.org,ftDPui3ITE6aTb0tvq4hGjeQKoVwySmIMVrbuQKSRZdpPRX/eGY26Dwr,Administrador,(061) 6202 4293,2025-01-18 07:15:18,ativo
109,José Porto,gaelmoraes@example.net,A+3Udh5E+6bJITRGMNfgJJcFrjQi0BvS6mXQJ62Qp8ueu1f15N6mlvzm,Cliente,+55 (021) 6964 2825,2025-01-28 13:27:31,ativo
110,Renan Cavalcanti,ovargas@example.org,llIFFQr/tEgjefG9YurlUKbgZApQReiiklr2ClqiDqxBnXvKlc1dlsOB,Cliente,81 2359 1480,2025-03-10 04:41:45,Banido
111,José Casa Grande,calebe55@example.org,twROEjZQeUtOVqmbvFyudHFIcKLjXRgl78mCken0W3oTHQL8t3ZJNB0S,Cliente,(041) 3981-1047,2025-02-09 01:21:06,ativo
112,Raquel Costa,sampaioagatha@example.org,Azj6y2/T08jX0AFyQ2CpWlHhMuy/zAZFADvSPGZgxGU8QEwfsUDEo817,Cliente,+55 (041) 1087-1113,2025-04-22 04:08:11,ativo
113,Elisa Machado,joaooliveira@example.org,IYK+eGvGAMMMioj3tqLst4tIexeKdFIhhUBCJLapgIailiU1OEXvQC/7,Cliente,(021) 5308 6255,2025-03-02 22:23:14,ativo
114,Lucas Gabriel Dias,luanvasconcelos@example.com,8JWMwmAFKukvRK6EsZCx8lpr4oq2O8m64O8H0pg+WHOk90Kqv0ltbeQm,Administrador,+55 61 4877-9349,2025-04-28 05:02:06,Excluído
115,Enzo Gabriel Pires,gabrielly63@example.net,hyIrSC3mHdhuXZEEzbGBr6mmFeuVVPfnolVOgc9R8eGgjN/wDJtKnl6P,Cliente,+55 (081) 9076-5191,2025-04-25 19:29:49,ativo
116,Sra. Lívia Nogueira,vitor-gabriel49@example.org,O2LSzDpvoPHr92763+7HnOcEa+biBXB9s18GWM5hSmTtO6sC5CXgSpUl,Cliente,+55 (011) 3685 0882,2025-01-19 16:55:46,Excluído
117,Alexandre Pereira,theodoro50@example.org,2bekJGYMyR79jhlrfOTQuC8yH289hA+uDeclMYVl1BfXXLgbHO8mMjYD,Cliente,0500-735-0714,2025-01-27 18:04:31,ativo
118,Letícia Cunha,meloravi@example.com,/WOwqCJkhrQBE0SeONqc2gHDJl8B0bqIeUujzzMq9TauMEwsdZnEbeZ6,Freelancer,31 9228-2997,2025-03-19 02:54:40,ativo
119,Diogo da Costa,da-pazjose@example.net,ey9CwBUbcro5ux1x2f9HiFN6fq/rJS3zguf/j9CwyJyPhopdq5iPTZV3,Administrador,(031) 5231-8378,,ativo
120,Otto da Conceição,monteiroanthony@example.net,BE5z7ssKSE8V2tOYwn41iHQyHiq9SdpiYkStmMlzEg435sSLSeKvnHwG,Cliente,61 7813 0955,2025-03-13 22:14:03,ativo
121,Enzo Gabriel Camargo,ravi-lucca82@example.com,f6pwa4Q5o2lvxNjP9sYI7Xx+FZUf1FngwXInZk7QoYY8G3+VGTlCsuOF,Freelancer,+55 61 7964 5273,2025-04-22 16:50:16,ativo
122,Milena Campos,eda-luz@example.com,HlViArrncRBdKX3Uyt7TfiuNR6E1wfxGDdugeAKcYjoDTcESDjjVd/cT,Cliente,71 8180 0439,2025-04-17 12:19:48,ativo
123,Ana Sophia Araújo,camposmariah@example.org,0DjRC0Zo0VSrvlL1kOYp0MxhU7yQcsqGrC/KVQsM/JbTxEjiKbFsCMOw,Cliente,84 3730-9598,2025-02-04 22:13:42,Excluído
124,Caio Rocha,pachecocamila@example.com,2aBjelTSsq4tZq0mceS4ADfq9vkkFJTo93C7LnAJ88Y7AP9y/3AdsO2p,Cliente,+55 84 8293-0063,2025-02-28 18:40:06,Excluído
125,Kaique da Mota,ecunha@example.org,rZI/h1E+HL4GC9IplQFzu37uQvSQr9sqBfZt7ErD7Q10eo4r2GMHiO42,Cliente,+55 51 3733 1590,2025-03-20 16:59:49,ativo
126,Arthur Gabriel Montenegro,roliveira@example.org,x4lcxbke+pgFFAqmZzbwWoTiqoMUEZh7Ww/zC8+Sa7zbdqTlOqCWZ5db,Freelancer,0900 731 0688,,ativo
127,Maysa Cirino,casa-grandelorenzo@example.net,sfgoL63az3mwhwn1q2cXZcIdK1kT23cJpcV0mFghjCDlqxa0RarAVvvV,Freelancer,51 4826 6111,2025-01-08 10:12:58,Excluído
128,Maria Júlia Machado,cavalcanteisis@example.net,8N/kUlMOOVMN9a1zlbppvegykkZuc9jbKyMMlLIcelkl797n3Y1JB9lx,Freelancer,+55 (031) 0945-2926,2025-04-03 21:06:58,ativo
